study,dataset,version,variable,label,categories,label_de,categories_de
soep-test,ahgen,v3,ahhnr,Current household number 2001,"",Aktuelle Haushaltsnummer 2001,""
soep-test,al,v3,ahhnr,Current Household Number(=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,al,v3,al01,Germany Nativity,"""1"":""Yes"", ""2"":""No""",Deutschland Geburt,"""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al02,Moving to Germany,"",Zuzug Deutschlandd,""
soep-test,al,v3,al03,Immigrant Group,"""0"":"""", ""1"":""Emigrant, meaning German speaking people from easteuropean countries"", ""2"":"" German that has been living overseas for some time"", ""3"":""Citizen of EU member  state"", ""4"":""Asylum seeker or refugee"", ""5"":""Other foreigner""",Zuwanderergruppe,"""0"":"""", ""1"":""Aussiedler, d.h. deutschstämmige Person aus osteuropäischen Staaten"", ""2"":""Deutscher, der längere Zeit im Ausland gelebt hat"", ""3"":""Bürger eines EU-Mitgliedstaates"", ""4"":""Asylbewerber oder Flüchtling"", ""5"":""Sonstiger Ausländer"""
soep-test,al,v3,al04,Domicile before 1989,"""1"":""German Democratic Republic incl. East-Berlin"", ""2"":""Federal German Republic incl. West-Berlin"", ""3"":""In another country"", ""4"":""Inapplicable, I was born in 1989 or later"", ""5"":""Inapplicable, I was born in 1989 or later""",Wohnort vor 1989,"""1"":""In der DDR (einschließlich Berlin-Ost)"", ""2"":""In der Bundesrepublik (einschließlich Berlin-West)"", ""3"":""In einem anderen Land"", ""4"":""Trifft nicht zu, bin 1989 oder später geboren"", ""5"":""Inapplicable, I was born in 1989 or later"""
soep-test,al,v3,al05,Siblings,"""1"":""Yes"", ""2"":""No""",Geschwister,"""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al06,"Degree of education,  Apprenticeship (GDR: craftsman degree)","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Lehre (DDR: Facharbeiterabschluss)","""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al07,"Degree of education, Vocational school, business school, health school","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Berufsfachschule, Handelsschule, Schule des Gesu","""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al08,"Degree of education, Technical school, i.e. technican degree, master degree","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Fachschule, z.B. Meister-, Technikerabschluss","""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al09,"Degree of education, Public officer education","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Beamtenausbildung","""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al10,"Degree of education, University of applied science, university of cooperative ed","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Fachhochschule, Berufsakademie (früher: auch Ing","""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al11,"Degree of education, University degree","""1"":""Yes"", ""2"":""No""","Universitäts-, Hochschulabschluss","""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al12,"Degree of education, Other degree","""1"":""Yes"", ""2"":""No""",Sonstiger Abschluss,"""1"":""Ja"", ""2"":""Nein"""
soep-test,al,v3,al13,Children,"""0"":"""", ""1"":""No, never had children"", ""2"":""Yes""",Kinder,"""0"":"""", ""1"":""Nein, hatte nie Kinder"", ""2"":""Ja"""
soep-test,al,v3,al14,Number of Children,"",Anzahl Kinder,""
soep-test,al,v3,persnr,Fixed Individual Number,"",Unveraenderliche Personennummer,""
soep-test,algen,v3,persnr,Fixed individual number,"",Unveraenderliche Personennummer,""
soep-test,ap,v3,ahhnr,Current Household Number (=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,ap,v3,ap01,Sex,"""1"":""male"", ""2"":""female""",Geschlecht,"""1"":""Männlich"", ""2"":""Weiblich"""
soep-test,ap,v3,ap02,Year of Birth,"",Geburtsjahr,""
soep-test,ap,v3,ap03,Nationality,"",Staatsangehörigkeit,""
soep-test,ap,v3,ap04,Civil Status,"""1"":""Married, cohabiting"", ""2"":""Married, permanently separated"", ""3"":""Single"", ""4"":""Divorced"", ""5"":""Widowed""",Familienstand,"""1"":""Verheiratet, mit Ehepartner zusammenlebend"", ""2"":""Verheiratet, dauernd getrennt lebend"", ""3"":""Ledig"", ""4"":""Geschieden"", ""5"":""Verwitwet"""
soep-test,ap,v3,ap05,"Family Changes, Married","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, habe geheiratet","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap06,"Family Changes, Moved together with partner","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, bin mit Partner/Partnerin zusammengezogen","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap07,"Family Changes, Child was born","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Kind wurde geboren","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap08,"Family changes,  Child entered household","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Kind kam in den Haushalt","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap09,"Family changes, Daughter/son left household","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Sohn/Tochter hat den Haushalt verlassen","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap10,"Family changes, Seperated from partner/spouse","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, habe mich von Ehepartner/Lebenspartner getrennt","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap11,"Family changes, Divorced","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, wurde geschieden","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap12,"Family changes, Partner/ spouse passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Ehepartner/Lebenspartner verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap13,"Family changes,  Father passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Vater gestorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap14,"Family changes, Mother passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Mutter ist verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap15,"Family changes, Another person in household passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Kind ist verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap16,"Family changes, Child passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, andere Person, die im Haushalt lebte, ist verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap17,"Family changes, other changes","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, sonstige Veränderung","""1"":""Ja"", ""2"":""Nein"""
soep-test,ap,v3,ap18,Satisfaction,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Leden insgesamt,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap19,Satisfaction with your health,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrer Gesundheit?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap20,Satisfaction with your sleep?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrem Schlaf?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap21,Satisfaction (in case of employment) with your work?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit (falls Sie erwerbstätig sind) mit Ihrer Arbeit?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap22,Satisfaction (if you are doing household chores) with the chores in your househo,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit (falls Sie im Haushalt tätig sind) mit Ihrer Tätigkeit im Haushalt,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap23,Satisfaction with your household income?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit dem Einkommen Ihres Haushalts,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap24,Satisfaction with your personal income?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrem persönlichen Einkommen?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap25,Satisfaction with your accomodation?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrer Wohnung,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap26,Satisfaction with your leisure time?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrer Freizeit?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
